specific,general
misafir karsilama elemani,
dijital pazarlama ve sos.m,
production intern,
proje muduru asistani,
proje yonetici yardimcisi,
e-ticaret yoneticisi,
kalite kontrol laborannti,
buro iscisi,
nakit akis yetkilisi,
tasarim stajyeri,
proje elemani,
lojistik uzman muhendisi,
aksesuar depo elemani,
buro elemani,
ofisboy,
analiz ve raporlama uzmani,
uretim stajyerri,
satinalma stajyeri,
drama instructor,
junior tax assistant,
e-commerce site trading intern,
marketing intern,
sales representative,
yonetici asistan,
musteri hizm. elemani,
franchise area manager,
international store merchandis,
brand representative,
creative manager assistant,
senior tasarimci asistani,
alan sorumlusu,
fiyatlandirma ve kampanya yont,
online pazarlama mud.,
int. store merchandiser,
donemsel kategori asistani,
planlama uzman yard.,
surec gelistirme uzm.yrd.,
engineer,
prod. buying,
mer,
internee,
laboratuvar teknikeri,
ofis soruumlusu,
uretim stajyeri,
yonetim stajyers,
commercial planner,
accounting specialist assistan,
grup yoneticisi,
peer tutor,
aktivite grup lideri,
office coordinator,
int. logistics system dev. spe,
system developer,
int. logistics procurement spe,
brand specialist,
ab proje gonullusu,
sales specialist,
destek elemani,
satinalma uzm.yrd.,
proje destek uzmani,
ic denetim sorumlusu,
attorney,
summer  intern,
internship of planning,
styling uzmani,
asistant designer,
supply chain executive,
cost accounting chief,
supply chain planning engineer,
logistics manager,
musteri deneyimi uzmani,
grafik tasarim sorumlusu,
depo sevkiyat sorumlusu,
stajyer guvenlik gorevlisi,
sistem operasyon sorumlusu,
development,
merchandising team leader,
lead it prod. manager expert,
senior consultant,
senior analyst,
software engineer,
buyer - stock specialist,
stock specialist,
sennior commercial planner,
bilgisayar teknikeri,
key account manager,
customer representative,
building site supervisor,
aktif satis elemani,
saha satis yoneticisi,
gemici,
musteri iliskileri elemani,
veri giris sefi,
kalite guvence sefi,
modelhane koordinatoru,
atolye sefi,
org. gonullusu,
e-comm. expansion team member,
e-ticaret uzm. yrd.,
is gelistirme sorumlusu,
satinalma uzman yard.,
otomotiv satis danismani,
yonetim kurulu asistani,
akaryakit ve lpg kredi risk so,
satis direktoru ve paz. md. as,
hr manager,
hr chief,
hr specialist,
hr generalist,
e-commerce planning specialist,
e-commerce planning ass. sp.,
terzi,
sales representative,
satis muh. uzm.,
accounting responsible,
int.accounting specialist (sn.,
fason kalite kont. elemani,
fason baski ve nakis takipcisi,
ustabasi,
musteri hizmetleri yoneticisi,
stajyer teknisyen,
fason teknikeri,
musteri temsilci asistani,
iletisim gorevlisi,
musteri temsilci,
ogretmenlik,
work and travel,
dikim bant sefi,
bant sefi,
urun kapasite ve planlama uz y,
production engineer,
kalite ve guvence uzm.yrd.,
product development spec.,
satis danismanligi,
garment,
freelance designer,
uretim musteri tems. ass.,
buying manager & product mang.,
e-ticaret kategori yoneticisi,
dis ticaret musteri temsilcisi,
magaza satis danismani,
e-ticaret ve pazarlama sorumlu,
prvate school,
arabic and english trainer,
english trainer,
administrator of sales,
english lecturer,
field specialist,
oprational process manger,
quality&production leader,
retail area manager,
store management,
finance & risk manag. spec.,
sales support assistant,
bayi satis temsilcisi,
bireysel bankacilik portfoy te,
teknik destek uzmani,
numune hazirlik elemani,
digital growth senior spec.,
satin alma muduru,
merchandiser muduru,
bolge satis sorumlusu,
e-ticaret uzman yardimcisi,
arastirmaci,
export representative,
muhaberat sorumlusu,
control specialist,
store auditor,
area sales supervisor,
floor responsible,
stajyer muhendir,
endustriyel bakim onarim tekni,
arge ve kalite muduru,
gonullu asistanlik,
strategy and process dev. int.,
sourcing intern,
production planning intern,
logistics intern,
purchasing assistant,
president of board of director,
senior store merchandiser,
senior merchandiser allocator,
baski sefi,
dokuma desinatoru,
idari veisler satin alma sorum,
kiralama uzmani,
hazine uzman yardimcisi,
ticari pazarlama stajyeri,
raporlama stajyeri,
laboratuvar stajyeri,
renk analisti,
internal audit executive,
corparate strategy consultant,
internal auditor,
strategy development expert,
performance man. pecialist,
e-ticaret kategori asistani,
urun yon. uzman yard.,
departman asistani,
marketing man traniee,
trade marketing intern,
export marketing head,
export customer representative,
material planning head,
traniee,
kurumsal bankacilik portfoy yo,
satis stajyeri,
kurumal pazarlama stajyeri,
kamyon satis asistanligi,
genel mdr/yk baskani asistani,
demiryolu ydisi operasyon uzm.,
orme planlama sorumlusu,
kimya labaratuvar sefi,
labaratuvar teknisyeni,
on muhasebe sorumlusu,
veznedar,
asistant buyer at aydinli grup,
asistant buyer,
department assistant,
food and beverage assistant,
thesis student,
student,
kumas planlama mudur yrd,
imalat ve uretim planlama mdr,
labaratuvar stajyeri,
sosyal medya danismani,
kongreler proje asistani,
idari isler(kat sekreteri),
idari isler,
magaza yoneticisi,
eg. ve ticari koordinasyon sor,
aktif satis temsilcisi,
operasyon asistani,
satin alma stajyeri,
cankurtaran,
robotic teacher,
idari isler uzmani,
ozel egitim uzmani,
stajyer psikolog,
jr designer,
product responsible,
associate merchandiser,
kasa sor/on muhasebe,
garson ve resepsiyon personeli,
gise personeli,
on muhasebe/sekreter,
production specialist,
corparates sales and mark. spe,
sn buyer,
aksesuar satinalma sorumlusu,
vitrin tas. ve gorsel duz. uzm,
customer representative,
ayakkabi tasarimcisi,
endustriyel tasarimci,
seramik teknikeri,
manager,
logistics assistant,
arayuz ve web tasarim,
dijital medya ve tasarim bolum,
ui-ix designer,
senior ui-ix designer,
hareketli grafik tasarimcisi,
bilgi islem stajyeri,
grafik tasarim - ogrenci,
retail planning specialist,
allocation specialist,
f&b sorumlusu,
barmen,
international recruitment&care,
human resources specialist&tal,
human resources jr specialist,
preschool teacher,
intern teacher,
special education intern,
web labaratuvar teknisyeni,
logistic specialist,
district sales executive,
b2c process development specia,
tedarik zinciri uzman yardimci,
emlak danismani,
learning and development speci,
design intern,
karsilama gorevlisi,
bakim onarim yoneticisi,
insaat yonetici yardimcisi,
bilgi islem destek uzmani,
satis uzman yardimcisi,
ik is ortagi,
ik asistani,
ik elemani(stajyer),
kategori yoneticisi / yonetmen,
urun analsti,
satinalma uzman yardimcisi,
kurumsal iletisim marka muduru,
aktif pazarlama mudur yard,
ticari bankacilik yetkilisi,
kalite yonetim sistem muhendis,
uretim panlama stajyeri,
satis asistani,
project executive,
data analyst-internship,
social media evaluator-freelan,
financial crime compliance an.,
financial affairs and budget p,
sales intern,
stajyer ogrenci,
e-commerce content creator,
sales executive,
export specialist,
sworn translator,
metin yazari,
e-commerce product man.coo. sp,
e-commerce pr.man.assist. spec,
content specialist,
human r. specialist assistant,
compensations and benefits spe,
traniee reporter,
jr buyer,
assistant buyer,
jplanner,
traditional channel sales inte,
denizin incileri intern progra,
purchasing intern,
production intern,
representative,
expatriate operations speciali,
expatriate oper. assistant sp,
sales and marketing specialist,
customer rel.management manage,
crm manager,
customer experience manager,
crm project manager,
crm and busi development manag,
crm and busi development speci,
crm assistant specislist,
purchasing specialist,
purchasing specialist assistan,
area personnel,
ecom team supervisor,
digital marketing specialist,
digital marketing intern,
fabric purchaser and planner,
planlama sorumlusu/urun planla,
kurumsal musteriler uzmani,
yatirim uzmani,
is sagligi ve guvenligi muhend,
isorumlu muhendis,
arge proje muhendisi,
stajyer-buying dep.,
stajyer-pazarlama,
e-commerce content specialist,
e-commerce product specialist,
account manager insoder,
sn acccount manager insider,
bordro uzman yardimcisi,
kasa gorevlisi,
large corporate cli.cov. inter,
strategy & business dev. inter,
social media assistant,
assistant editor,
tasarim stajyeri,
web sitesi icerik yoneticisi,
icerik gelistirme uzmani,
crm supervisor,
technical account manager,
mobile application developer,
performance marketing speciali,
performance marketing executiv,
retail trading manager,
planning manager,
sn merchandise planner,
wholesale merchandise planner,
ecommerce category manager,
retail merchandise planner,
dj programmer,
international trade&mark. spec,
e-ticaret sorumlusu,
e-ticaret kategori uzmani,
e-ticaret uzman yardimcisi,
crm analytics supervisor,
market research team leader,
digital marketing specialist,
trafficking executive,
project assistant,
human resource management,
planlama ve alokasyon uzmani,
urun planlama ve alo. uzman yr,
marketing and community speaci,
crm intern,
sales analyst intern,
product management trainee/,
marketing trainee,
ambassador recruitment team,
manufacturing intern,
trade marketing intern,
reverse mentor ceo,
industrial engineer intern,
porduction planning and contro,
r&d long term intern,
stand gorevlisi,
human resources and administra,
human resources business partn,
front desk clerk,
trade relat,
human resources assistant (par,
production engineering intern,
advanced quality engineering m,
skechers,
supply chain specialist,
shipping specialist,
category assistant,
marketing assistant specialist,
e-commerce specialist,
denim yikama elemani,
assistant merchandiser,
planning specialist,
aktif satis danismani,
summer intern,
project intern,
quantitative market researcher,
business consultant,
esn erasmus volunteer coordina,
work and travel - usa,
animasyon sefi,
yol tekstil satis temsilcisi,
atos musteri temsilcisi,
crm specialist,
crm data analysis specialist,
category trainee,
it trainee,
intern art director,
intern editor,
fashion assistant,
business development specialis,
iletisim koordinatoru,
lojistik operasyon memuru:,
demiryolu operasyon uzman yard,
musteri hizmetleri uzmani:,
ithalat asistani,
tedarikci iliskileri uzmani,
operasyon ve satis denetim sef,
yolcu hizmetleri sefi,
brand & product management spe,
budget planning & product mana,
international retail product &,
product planning & allocation,
product & process planning man,
research departmant intern,
statistics specialist & subscr,
assistant research executive,
research executive,
interpreter,
transcriptionist,
social media crm specialist,
supervisor),
e-ticaret sorumlusu,
merchandiser asistani,
sezon ici planlama uzmani,
senior consultant,
call center manager,
alarm and call center manager,
customer experience project sp,
planning and monitoring specia,
churn management customer repr,
foreign customers representati,
merchandiser asistani,
muhendis,
insan kaynaklari asistani,
uretim stajyeri,
uzun donem stajyer,
pazarlama stajyeri,
asistan proje yoneticisi,
french tutor,
sap basis consultand,
digital medai and web analyst,
digital medai and web manger,
senior analyst strategist,
senior data analyst,
planning enginee,
pazarlama ve iletisim sorumlus,
sosyal mecra sorumlusu,
egitim koordinatoru,
etkinlik ve organizasyon sorum,
turkish airlines sosyal crm uz,
guest relations officer,
designer,
tasarim asistani,
marka muduru,
aktif satis danismani,
tuik stajyer,
fund management internship,
marketing internship,
freelance,
earnado digital marketing sp,
uretim elemani,
makinist,
kimya teknisyeni,
yatirim sorumlusu,
jr. photographer,
set photographer,
web editor,
fotograf ve video sorumlusu,
procurement @ healthcare insti,
project management specialist,
procurement engineer,
technical procurement engineer,
logis.cen. of excellence sp,
international logistics specia,
industrial engineer,
data controller,
bilgi islem subayi it officer,
freelancer musician,
kalite ve gelistirme stajyeri,
altyazi cevirmeni,
it intern,
finans ve lojistik staji,
uretim staji,
snmerchandiser at inditex team,
sn regional sal & mark. execut,
export snsales & mark. executi,
export sales representative,
purchasing and logistics assis,
aktif pazarlama muhendisi,
int. category specialist,
category responsible,
sales speacialist,
int. visual merchandiser,
marketing and sales specialist,
assistant of production,
bireysel bankacilik satis yone,
marketplace satis uzmani,
alternatif kanallar satis uzm,
eticaret pazaryeri satis yonet,
veri gir. ve tedarikci sorumlu,
media planning executive,
yurtdisi islemler stajyeri,
medya planlama stajyeri,
organizasyon tanitim,
accounting manager,
accounting&reporting manager,
tax advisor,
senior tax controlling special,
tax supervisor,
experienced assistant,
reklam ve halkla ilis. yonet.,
aktif pazarlama elemani,
servis bakim elemani,
merchandiser (orme),
merchandiser (dokuma),
satin alma uzman yardimcisi (d,
kumas satin alma yardimcisi (d,
maliyet planlamasi,
finance supervisor,
finance assistant sn,
cabin crew business class,
ecommerce specialist,
raporlama uzmani,
satis destek uzman yardimcisi,
mali isler uzman yardimcisi,
kasa yoneticisi,
digital media planning & buyin,
media planning and ope. sp,
digital media traf.& repor sp,
waiter,
customer relationship manager,
risk advisory consultant,
risk advisory specialist,
customer relations intern,
research and development inter,
insan kaynaklari uzman yardimc,
asistan buyer,
team leader,
part-time sales consultant,
urun yonetimi strateji ve sure,
teknoloji transfer ofisi stajy,
intern architect,
cashier,
insan kaynaklari uzman yard,
sube stajyeri,
ntp,
resim is ogretmeni,
avrupa birligi proje gonullusu,
gonullu personel,
fen bilgisi ogretmeni,
fizik ogretmeni,
customer experience manager,
operation executive,
customer service specialist,
budget planning and control as,
import & export operation spec,
export operation specalis,
frontend developer team lead,
front end developer,
web software developer,
senior category manager,
accounting specialist,
assistant accountant,
yurtdisi alokasyon ve pla.uzm.,
finans kurumsal fat. uzm yrd,
yari zamanli takim asistani,
musteri danismani kasiyer,
call center and busi. dev.exe.,
store manager assistant,
customer services offical,
geological engineer,
co-founder & creative director,
creative/fashion consultant,
fashion director,
contributing fashion editor,
fashion editor,
marketing communications spec.,
event mark. and project exec.,
account and project executive,
ic mimar stajyeri,
reklam yetkili yardimcisi,
universite staji,
lise staji,
dyeing andfinishing internship,
planning internship,
knitting internship,
clothing intern,
yarn and weaving internship,
pazarlama asistani,
junior buyer,
ofis asistani,
customer and market ins. spe.,
project executive,
long term research intern,
editorial assistant intern,
editorial assistant,
proje lideri,
gonullu egitmen,
proje uygulama uzmani,
tasarim teknikeri,
moda tasarim asistani,
brand marketing intern,
strategy and proc devel.  inte,
marketing and com. intern,
finance intern,
tedarik uzmani,
fason uretim uzmani,
event marketing and planning s,
sales planning specialist,
ogrenci isleri,
project student,
e-commerce assistant,
marketing communications inter,
laboratory student assistant,
laboratory intern,
project manager & marketing le,
sr.project sp& marketing leade,
project specialist & mark. spe,
editor in chief mlife travel,
finansal kontrol ve planlama u,
butce planlama uzman yardimcis,
finans uzman yardimcisi,
sn consultant,
misafir hizmetleri memuru,
musteri iliskileri uzmani,
key account management,
human resources intern,
jr. art direktor,
jr. grafik tasarimci,
stajyer grafik tasarimci,
digital marketing spec intern,
content editor intern,
growth hacker,
senior performance marketing e,
performance marketing executiv,
account strategist,
client services specialist,
java bootcamp,
finance management trainee,
ict trainee,
business analyst,
frontend developer,
musteri den. ve merket. op. yo,
adidas head of marketing,
mma turkey chairwoman,
marketing director,
marketing director pers. care,
brand development manager dig,
brand manager hair care,
brand manager deos,
product group manager,
merchandise manager kids,
international category supervi,
international category planner,
product specialist,
head of product dev&marketing,
group brand manager,
trade marketing coordinator,
teaching assistant,
internship,
research assistantship and tea,
affiliate account specialist,
assistant account executive -,
vergi ve denetim stajyeri,
kurumsal iletisim asistani,
turkish language teacher,
junior brand manager,
assistant,
translator & editor (intern),
animator,
e-ticaret urun ve satinalma yo,
strateji ve is gelistirme uz y,
online kategori kidemli uzman,
urun yetkilisi,
musteri deneyimleri uzmani,
insan kaynaklari uzmani,
insan kaynaklari stajyeri,
ux researcher & designer,
product designer,
jewelry designer,
planlama ve uretim takip,
content creator/category speci,
co founder,
junior product manager,
brand management and partnersh,
market research assistant,
ise alim asistani,
cagri merkezi uzmani,
tibbi arsiv ve dokumantasyon g,
senior web designer,
visual design specialist,
graphic designer,
web designer,
e-commerce manager,
product/project manager,
sales and marketing department,
team member,
intern-marketing,
senior auditor,
experienced audit assistant,
after sales and customer servi,
kidemli ulke planlama sorumlus,
is gucu planlama sorumlusu,
magaza planlama ve alokasyon y,
sosyal aglar ve sik̢yet yoneti,
computer and instructional tec,
ux research and design,
training coordinator,
technical consultant,
librarian,
ithalat musteri temsilcisi ve,
buying,
production department- supply,
senior commercial planner,
logistics planning & allocatio,
jr allocator,
contract manufacturing special,
purchasing engineer,
personel uzmani,
metin yazari (freelance),
internet editoru (freelance),
seo executive,
seo uzmani,
halkla iliskiler (staj),
icerik uzmani / kullanici dene,
arge uzman yardimcisi,
kurumsal iletisim bolum baskan,
int e-com and marketplace spec,
freelance editor,
travel blogger,
marketing com budget specialis,
finance specialist,
accounting intern,
brand & marketing specialist,
founder & brand strategist,
social media marketing intern,
satis destek yetkilisi,
fraud kontrol yetkilisi,
search engine optimization exe,
assistant project manager,
operational marketing part tim,
poject assistant,
stra& business devel manager,
group senior financial control,
satin alma ve ithalat uzmani,
misafir iliskileri stajyeri,
commercial,
kategori yonetimi stajyeri,
mevzuat takip sefi,
bt proje yoneticisi,
financial specialist,
financial assistant specialist,
genel muhasebe thp (staj),
uluslararasi proje stajyeri,
turkce ogretmeni,
pos teknisyen,
urun temsilcisi,
merchandiser assistant,
assistant director,
editing intern,
finance/part time,
finance/intern,
satin alma asistani,
urun yoneticisi / yonetmeni,
urun gelistirme muhendisi,
kurumsal iletisim uzmani,
proje uzman yardimcisi,
tekstil teknikeri,
satis asistani,
supply chain planning & projec,
supply chain planning executiv,
online sales executive,
bordro ve ozluk isleri uzmani,
muhasebe stajyeri,
satis ve pazarlama stajyeri,
corporate communications manag,
communication consultant,
marketing coordinator,
marketing & pr director,
account director,
marketing and pr manager,
account executive,
int. store merchandising,
kadin giyim tedarik operasyonu,
satis/pazarlama elemani,
satis/pazarlama uzmani,
tuzel direkt satis,
grafik tasarimci,
supply chain executive,
senior supply chain specialist,
supply chain analyst,
operations & reporting special,
reporting jr,
reporting analyst,
product management and plannin,
systems analyst,
hr assistant manager / kalekim,
hr as. manager od/kale holding,
human resources executive / bp,
organizational dev.team leader,
senior category specialist,
digital commerce partner,
kidemli dijital pazarlama uzma,
performans pazarlama uzmani,
musteri iliskileri temsilcisi,
compliance specialist/legal co,
legal intern,
student intern,
summer internsh,
ozel sofor,
sofor / surucu,
yurtdisi pazarlama muduru,
urun yoneticisi / yonetmen,
dis ticaret asistani,
international retail and sales,
kategori yoneticisi / yonetmen,
ihracat elemani,
resepsiyon tercumani,
customer success manager,
public relations specialist,
front desk administrator,
associate buyer & planner,
sales and management trainee,
assistant supervisor,
research analyst,
strategic planning and marketi,
senior strategic planning exec,
digital media analyst,
human resource intern,
operations intern,
business development,
key account supervisor,
customer services coordinator,
tedarikplanlamauzman yardimcis,
commercial planner cis & rus,
international store planner -,
jr.store planner,
head of business development &,
consumer insight and strategic,
advertising coordinator,
international sales manager,
sap fi consultant,
digital industries intern,
engineering intern,
export sales mt,
operation department intern,
method engineering intern,
kambiyo uzmani,
istatistik antrenoru / analist,
category executive,
operations supervisor,
reji asistani,
yapim asistani,
supply chain engineer,
production planner specialist,
sourcing production specialist,
tercuman / cevirmen,
international key account spec,
arastirma gelistirme / arge te,
sales and marketing responsibl,
fixed-term quality engineer,
part time production engineer,
sales and marketing responsibl,
gates corparation,
account manager b2b & b2c,
information technology intern,
digital advertising operations,
republic of turkey ministry of,
trade marketing representative,
import sales operation&customer,
sales supervisor,
digital analytics & seo execut,
e-com operations & marketing s,
co-founder,
insan kaynaklari asistani,
payment systems intern,
ise alim stajyeri,
urun planlamauzmani,
housekeeping iletisim gorevlis,
urun kategori uzman yard,
urun kategori uzmani,
kidemli kategori uzmani,
category and sales planning as,
e-ticaret planlama ve alokasyo,
commercial planning,
influencer marketing,
urun planlamavealokasyon uzman,
planlamauzmani,
idari isler elemani,
buying asistant,
designer assistant,
exportcustomer representative,
translator,
veri kontrol ve kodlama yetkil,
senior project specialist,
chemical production and storeh,
r&d specialist,
laboratory assistant (m.sc.),
dis ticaret yoneticisi,
lojistik uzmani,
supervisor - miles&smiles mark,
supervisor - inflight entertai,
sales & business development e,
retail sales supervisor - the,
local trade marketing speciali,
on premise sales representativ,
senior account manager,
analyst,
client relationship manager,
is gelistirme yoneticisi,
finansal kontrol ve butce rapo,
kurumsal satis birim yoneticis,
buyuk musteriler yoneticisi,
kurumsal satis yoneticisi,
kismi zamanli ogrenci calisma,
uretim planlama ve kontrol dep,
tasarimci grafiker,
modatasarimcisi,
modatasarimasistani,
sourcing & purchasing merchand,
laboratuvar teknikeri,
banko gorevlisi,
on muhasebe elemani,
od and process manag. intern,
corporate communication long t,
sales assistant (part time),
foreign trade officer,
data entry officer,
sales operation assistant,
strategy specialist,
marketing communications speci,
project specialist,
production planning intern,
part-time tutor,
intern translator and editor,
freelance translator and seo w,
english teacher and tutor,
intern translator,
operations specialist,
surec proses analiz sorumlusu,
lojistik sorumlusu,
part time kasiyerlik,
anketorluk,
garsonluk,
musteri hizmetleri uzman yardi,
marketing specialist,
satin almauzmani,
assistan modelist,
musteri temsilcisi asistani,
reporting and controlling juni,
reporting and controlling assi,
sales support,
category specialis,
merchandising responsible,
urun yoneticisi,
aksesuar birim yoneticisi,
kategori uzmani,
birim yoneticisi-avukat,
tax auditor,
tax jr,
idari asistan,
legal counsel,
attorney at law,
is gelistirme gonullu staj,
produksiyon asistani,
e-ticaretsorumlusu,
costumer representative specia,
pr intern,
planlamauzman yardimcisi,
yurtdisi musteri temsilcisi,
kidemli merchandiser,
merchandise category specialis,
lojistik operasyon asistani,
surec gelistirme asistani,
ofis asistani,
urun sorumlusu-is gelistirme u,
satis & satin alma,
uretim planlama yardimcisi,
marketing consumer insight int,
dijital marketing intern,
mass banking performance manag,
muhasebe ve finans uzman yardi,
bankacilik asistanligi,
junior front-end developer,
front-end developer,
lead buyer,
special projects buyer,
project volunteer,
mba: business administration,
freelance visual designer,
design assistant,
blogger,
fashion critic writer,
sales marketing personnel,
editor yardimcisi,
grafiktasarimuzmani,
tahsilat uzmani,
category&sales as specialist,
internship-marketing dep,
food lion,
urun tanitim gorevlisi,
co-founder and manager,
field engineer,
foreign trade operations,
ekip planlama sefi,
musteri temsilcisi,
prova mankeni,
be the change,
part-time job,
uretim musteri temsilcisi asis,
styling creative team leader,
styling specialist,
web production specialist,
design assistant (staj),
product developer assistant,
satin alma ve pazarlama,
insaat muhendisi,
lifeguard,
communication & marketing mana,
human resources assistant spec,
organizational development spe,
human resources executive,
hr business partner unit mana,
hr manager,
tax consultancy manager,
internal auditor,
tax manager,
internal auditor / inspector,
tax senior,
internal audit executive,
internal audit specialist,
senior internal auditor,
senior purchasing specialist,
sourcing & production coordina,
sales engineer,
grafik tasarimcisi,
assistant planning and allocat,
sales and marketing,
project segment,
sales and marketing internal,
uretim muhendisi,
urun planlama uzman yardimcisi,
planlama muhendisi,
merchandising department manag,
merchandising unit manager,
sales & marketing assistant,
customer relationship manageme,
foreign trade intern,
student assistant,
international education counse,
stajer,
project assistant,
social media manager,
external relations manager,
asistant,
getir yemek restoran operasyon,
konuk arastirmaci,
insan kaynaklari staj,
volunteer,
the hope foundation for childr,
human resources inter,
executive asisstant,
intarnational operations intel,
industrial engineering intern,
p a z a r l a m a s t a j i -,
u r e t i m y o n e t i m i s,
u r e t i m m u h e n d i s l,
lifeguard,
retail sales consultant,
yurtdisi satissorumlusu,
bolgesatissorumlusu,
treasury operation intern,
individual operations assistan,
data team intern,
team manager,
bilgi islem stajyer,
sap danismani,
quality control,
grafik tasarim uzmani,
global media planning & buying,
procurement manager,
media planner,
media planning and buying exec,
freelance content editor,
tam zamanli stajyer,
kimya ogretmeni,
is guvenligi uzmani,
kurumsal sosyal sorumluluk koo,
surdurulebilirlik yoneticisi,
tedarik sorumlusu,
musteri temsilcisi ve butce pl,
asistan buyer,
buying ofis asistani,
muhasebe ve satis temsilcisi,
ithalat musteri hizmetleri tem,
konteyner planlama ve kontrol,
muhasebe staji,
crm stajyer,
accounting internship,
crm internship,
hr supervisor,
hr generalist,
employee relations& hr opr. sp,
hr assistant specialist,
hr assistant,
e-ticaret uzmani,
dijital pazarlama & sosyal med,
dijital pazarlama uzman yardim,
senior digital marketing speci,
digital project manager,
tasarimasistani,
uretim planlama elemani,
aksesuar satin almasorumlusu,
hr associate consultant,
it recruitment specialist,
hr recruitment specialist,
hr analytics manager,
human resources manager,
satis sonrasi hizmetler uzmani,
takim lideri,
cagri merkezi takim lideri,
musteri hizmetleri temsilcisi,
marketing strategy consultant,
marketing manager,
google business development &,
sales and marketing deputy man,
marketing and corporate commun,
country warranty operations sp,
uluslararasi franchise magazal,
dis ticaret elemani,
iletisim birimi elemani,
uretim planlama stajyeri,
operasyonel uzman yardimcisi,
raporlama ve analiz sorumlusu,
raporlama ve analiz sorumlusu,
business intelligence long ter,
project management summer inte,
pizza maker,
summer internship program,
stajcell summer internship pro,
jr. product manager,
buyer menswear denim,
jr.buyer menswear denim,
assistant buyer menswear denim,
kumas tedarik uzmani,
travel advisor,
finansal analist po uzmani p2p,
satici analisti,
operator,
etkinlik asistani,
trainee commercial,
crm specialist,
marketing intern,
ui developer,
intern frontend developer,
tedarikci gelistirmeuzmani,
satin almavetedarikzinciri uzm,
kategori sorumlusu,
satisbolumyoneticisi,
magazamuduru,
account supervisor,
media relations manager,
reporter,
compulsory internship,
proje stajyeri,
stajyer muhendis,
workforce planning engineer,
production planning engineer,
long term intern,
office agency/specialist,
valuation&advisory/trainee,
allocation surec gelistirme uz,
raporlama analiz uzmani,
uretim planlama uzman yardimci,
site content & control,
fabric planner,
alokasyon uzman yardimcisi,
kimyamuhendisi,
asisstant merchandiser,
tibbi satistemsilcisi,
aktif satissorumlusu,
satistemsilcisi,
laboratuvar uzmani,
kalite guvence uzmani,
inspektor / enspektor,
asistan garment technologist,
gorsel sunum uzmani,
bolge gorsel duzenleme uzmani,
account department specialist,
talent ac. tra.&emp bra respon,
gorsel uzman,
satis operasyon uzmani,
makina muhendisi,
fotograf editorlugu,
stajyer/asistan,
aktivite alanlari supervizoru,
studyo asistani,
studyo makeup artist,
makeup artist,
e studyo stayling asistani ve,
moda tasarimi ogretmenligi,
yazilim,
egitim departmani,
satis danismani - part time,
butce plan ve finan kontr staj,
butce ve finan rap uz yardi,
e-ticaret yetkilisi,
planlama ve alokasyon uzman ya,
junior designer,
commercial banking specialist,
officecoordinator,
administrativeaffairsassistant,
merchandiser sn,
manager at corporate finance,
senior associate at corp. fina,
analyst at corporate finance,
freelance desen tasarimcisi,
citizen share holders,
motion designer,
konsept tasarimcisi,
gorsel tasarimci,
koleksiyon sorumlusu,
garment technolog & merchandis,
garment technolog & modelhane,
garment technolog,
lectra operatoru,
koleksiyon takibi sorumlusu,
tasarimsorumlusu,
kidemli tasarimuzmani,
bakim teknisyeni,
icerik yazari,
hasta kabul gorevlisi,
istinye universitesi hastanes,
erp yazilim danismani,
insan kaynaklari sorumlusu,
satis destek uzmani,
satis ve pazarlama sorumlusu,
satinalma ve planlama sorumlus,
aksesuar satin alma ve tedarik,
uzman urun yoneticisi,
kuratorluk,
gonullu,
satis ofis stajeri,
tasarimci asistani,
kostum asistani,
mihmandar,
senior designer,
musteri danismani,
ofis gorevlisi,
social media specialist,
waitress,
tutor,
jn. buyer,
jn. merchandiser,
mudur yardimciligi,
senior design project,
uretim uzmani,
satis ve pazarlama uzmani,
supply chain assistant special,
customer service specialist,
associate finance specialist,
associate project specialist,
kidemili grafik tasarimci,
grafik tasarim sorumlusu,
grafiker,
grafik ogretmeni,
senior graphic designer,
art director,
web tasarim stajyeri,
audit intern,
business development assistant,
project manager,
denetci yardimcisi(senior),
maliyet kontrol ve raporlama u,
jr. graphic designer,
kumas arge uzmani,
artist assistant,
art handler,
p4c workshop,
planlama uzman yrd,
corporate communications ast.,
corporate communications speci,
corporate communications execu,
business development team lead,
human resources ops. assistant,
endustri tasarimcisi,
ayakkabi tasarim sorumlusu,
arge ve tasarim uzmani,
network ayakkabi canta ve aks,
modelistyardimcisi,
pastalci,
working as group leader at jac,
merchandiser sr,
merchandiser manager,
satis danismani ve pazarlama,
surec planlama ve uretim muhen,
yonetim stajyeri,
oztiryakiler madeni esya san.,
marka direktoru,
aksesuar tasarimcisi,
kreatif direktor,
corporate tax compliance exper,
business development & strateg,
ticari kayiplar uzmani,
cctv operatoru,
uretimmuhendisi,
satis koordinasyon uzman yrd.,
planlama uzman,
dijital pazarlama ve e-ticaret,
juniour designer,
category buyer/ international,
production development and pro,
satin alma ve planlama uzmani,
planlama elemani,
insaat kontrol muhendisi,
saha muhendisi/ince isler sefi,
ince isler sefi,
dijital donusum proje sorumlus,
fotografci asistani,
kutuphane asistani,
data toplama gorevlisi,
operasyon uzman yardimcisi,
lojistik-alakasyon-planlama,
management trainee & commercia,
production merchandiser,
assistant designer & merchandi,
direktor,
business intelligence analyst,
jr. store planner,
account executive trainee,
a&b communications,
research officer,
recruiter,
recruitment specialis,
talent acquisition specialist,
senior recruitment specialist,
katalog uzman yardimcisi,
senior stylist,
social media manager,
wardrobe stylist,
